DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134034,PA0011,CDS,14235,15122,+,htrB1,2-OH-lauroyltransferase,acyltransferase HtrB1,Class 1,2-OH-lauroyltransferase ; HtrB1 ; acyltransferase HtrB1,NP_248701.1 ; WP_003097282.1,888,296,33,9.84,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134036,PA0012,CDS,15207,15473,+,,,hypothetical protein,Class 4,,NP_248702.1 ; WP_003114645.1,267,89,9.8,5.64,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134038,PA0013,CDS,15620,16273,+,,yhhQ,conserved hypothetical protein,Class 4,,NP_248703.1 ; WP_003097286.1,654,218,24.3,10.58,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134040,PA0014,CDS,16335,16607,-,,,hypothetical protein,Class 4,,NP_248704.1 ; WP_003114644.1,273,91,10,7.84,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134042,PA0015,CDS,16900,17217,-,,,hypothetical protein,Class 4,,NP_248705.1 ; WP_003120685.1,318,106,11.5,9.15,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134044,PA0016,CDS,17366,18739,-,trkA,,potassium uptake protein TrkA,Class 2,,NP_248706.1 ; WP_003107053.1,1374,458,49.9,5.06,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134046,PA0017,CDS,18767,20071,-,,sun ; fmu,conserved hypothetical protein,Class 4,,NP_248707.1 ; WP_003114643.1,1305,435,47.2,8.16,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134048,PA0018,CDS,20068,21012,-,fmt,,methionyl-tRNA formyltransferase,Class 2,,NP_248708.1 ; WP_003114642.1,945,315,33,6.96,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134050,PA0019,CDS,21067,21573,-,def,,polypeptide deformylase,Class 2,formylmethionine deformylase,NP_248709.1 ; WP_003107059.1,507,169,19.4,4.73,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134052,PA0020,CDS,21712,22737,+,tsaP,,T4P secretin-associated protein TsaP,Class 2,T4P secretin-associated protein TsaP,NP_248710.1 ; WP_003097294.1,1026,342,37.6,9.37,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134054,PA0021,CDS,22872,23960,+,,smf,conserved hypothetical protein,Class 4,,NP_248711.1 ; WP_003114641.1,1089,363,37.7,7.13,Unknown (This protein may have multiple localization sites) [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134056,PA0022,CDS,24001,24558,+,,yrdC,conserved hypothetical protein,Class 4,,NP_248712.1 ; WP_003097300.1,558,186,20.4,6.51,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134058,PA0023,CDS,24568,25545,-,qor,,quinone oxidoreductase,Class 2,NADPH:quinone reductase,NP_248713.1 ; WP_003111202.1,978,326,35.1,6.26,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134060,PA0024,CDS,25736,26653,+,hemF,,"coproporphyrinogen III oxidase, aerobic",Class 2,,NP_248714.1 ; WP_003097311.1,918,306,34.8,5.78,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134062,PA0025,CDS,26711,27535,+,aroE,,shikimate dehydrogenase,Class 2,,NP_248715.1 ; WP_003111201.1,825,275,29.5,5.46,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102791,PA0026,CDS,27646,28632,+,plcB,,"phospholipase C, PlcB",Class 1,"phospholipase C, PlcB",NP_248716.1 ; WP_003111200.1,987,329,36.7,5.32,Extracellular [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102793,PA0027,CDS,28613,29899,+,,,hypothetical protein,Class 4,,NP_248717.1 ; WP_003114640.1,1287,429,48.8,9.49,Unknown (This protein may have multiple localization sites) [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102795,PA0028,CDS,29896,30498,+,,,hypothetical protein,Class 4,,NP_248718.1 ; WP_003114639.1,603,201,21.2,4.37,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102797,PA0029,CDS,30502,32055,-,,,probable sulfate transporter,Class 3,,NP_248719.1 ; WP_003114638.1,1554,518,55.2,10.17,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102799,PA0030,CDS,32060,32983,-,cosX,,CosX,Class 2,CosX,NP_248720.1 ; WP_003115797.1,924,308,33.9,7.55,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102801,PA0031,CDS,33000,34511,-,betC,,choline sulfatase,Class 2,,NP_248721.1 ; WP_003114636.1,1512,504,57.4,6.55,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102787,PA0032,CDS,34624,35538,+,,,probable transcriptional regulator,Class 3,,NP_248722.1 ; WP_003122286.1,915,305,33.8,8.15,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102783,PA0033,CDS,35905,36270,-,hptC,,Histidine phosphotransfer protein HptC,Class 2,Histidine phosphotransfer protein HptC,NP_248723.1 ; WP_003097330.1,366,122,13.4,5.56,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102785,PA0034,CDS,36278,36901,-,,,probable two-component response regulator,Class 3,,NP_248724.1 ; WP_003111192.1,624,208,22.9,10.15,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102803,PA0035,CDS,37087,37893,-,trpA,,tryptophan synthase alpha chain,Class 1,,NP_248725.1 ; WP_003115801.1,807,269,28.5,5,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102805,PA0036,CDS,37890,39098,-,trpB,,tryptophan synthase beta chain,Class 1,,NP_248726.1 ; WP_003097340.1,1209,403,43.7,6.26,Cytoplasmic [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102807,PA0037,CDS,39202,40089,+,trpI,,transcriptional regulator TrpI,Class 1,,NP_248727.1 ; WP_003114633.1,888,296,32.3,6.26,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102809,PA0038,CDS,40190,40405,+,,,hypothetical protein,Class 4,,NP_248728.1 ; WP_003097345.1,216,72,7.9,7.09,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102811,PA0039,CDS,40589,40816,+,,,hypothetical protein,Class 4,,NP_248729.1 ; WP_003097347.1,228,76,7.9,8.73,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102813,PA0040,CDS,41113,42801,+,,,conserved hypothetical protein,Class 4,,NP_248730.1 ; WP_003147036.1,1689,563,63.2,8.41,Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102815,PA0041,CDS,42914,53521,+,,,probable hemagglutinin,Class 3,,NP_248731.1 ; WP_003147038.1,10608,3536,361.6,5.11,Extracellular [Class 1] ; Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102819,PA0042,CDS,56546,56941,+,,,hypothetical protein,Class 4,,NP_248732.1 ; WP_003114584.1,396,132,14.6,5.73,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102817,PA0043,CDS,57212,58594,-,,,hypothetical protein,Class 4,,NP_248733.1 ; WP_003128157.1,1383,461,48.8,10.74,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102821,PA0044,CDS,58786,60159,+,exoT,,exoenzyme T,Class 1,,NP_248734.1 ; WP_003114583.1,1374,458,48.5,5.66,Extracellular [Class 1] ; Extracellular [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102823,PA0045,CDS,60656,61342,+,,,hypothetical protein,Class 4,,NP_248735.1 ; WP_003111706.1,687,229,24.4,9.55,Outer Membrane Vesicle [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102825,PA0046,CDS,61373,61726,+,,,hypothetical protein,Class 4,,NP_248736.1 ; WP_003083569.1,354,118,12.9,5.73,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102827,PA0047,CDS,61879,62388,+,,,hypothetical protein,Class 4,,NP_248737.1 ; WP_003118560.1,510,170,17.5,5.08,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102829,PA0048,CDS,62403,62786,-,,,probable transcriptional regulator,Class 3,,NP_248738.1 ; WP_003083575.1,384,128,14.4,10.56,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102831,PA0049,CDS,63068,64729,-,,,hypothetical protein,Class 4,,NP_248739.1 ; WP_003114581.1,1662,554,60.1,9.79,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102833,PA0050,CDS,65339,65479,+,,,hypothetical protein,Class 4,,NP_248740.1 ; WP_003083582.1,141,47,4.8,4.54,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102835,PA0051,CDS,66303,68135,+,phzH,,potential phenazine-modifying enzyme,Class 2,probable glutamine amidotransferase,NP_248741.1 ; WP_003114665.1,1833,611,69.5,6.89,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102837,PA0052,CDS,68188,68616,-,,,hypothetical protein,Class 4,,NP_248742.1 ; WP_003083588.1,429,143,15.5,6.39,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102839,PA0053,CDS,69272,69526,+,,,hypothetical protein,Class 4,,NP_248743 ; WP_003114664.1,255,85,9.4,4.43,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102841,PA0054,CDS,69543,70091,-,,yjiI,conserved hypothetical protein,Class 4,,NP_248744.1 ; WP_003111523.1,549,183,20,9.55,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102843,PA0055,CDS,70130,70636,-,,,hypothetical protein,Class 4,,NP_248745.1 ; WP_003083593.1,507,169,18.4,5.72,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102845,PA0056,CDS,70702,71622,-,,,probable transcriptional regulator,Class 3,,NP_248746.1 ; WP_003083596.1,921,307,33.6,7.03,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102847,PA0057,CDS,71730,72617,+,,,hypothetical protein,Class 4,,NP_248747.1 ; WP_003083599.1,888,296,32,7.91,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102849,PA0058,CDS,72680,73384,+,dsbM,,DsbM,Class 1,DsbM,NP_248748.1 ; WP_003114663.1,705,235,24.9,5.29,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102851,PA0059,CDS,73468,73923,+,osmC,,osmotically inducible protein OsmC,Class 2,,NP_248749.1 ; WP_003118563.1,456,152,15.6,6.25,Cytoplasmic [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102853,PA0060,CDS,74034,74267,+,,,conserved hypothetical protein,Class 4,,NP_248750.1 ; WP_003114662.1,234,78,8.3,4.48,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102855,PA0061,CDS,74279,74716,-,,,hypothetical protein,Class 4,,NP_248751.1 ; WP_003083612.1,438,146,16.1,8.46,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102857,PA0062,CDS,74773,75189,-,,,hypothetical protein,Class 4,,NP_248752.1 ; WP_003083614.1,417,139,15.7,5.25,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102859,PA0063,CDS,75281,76408,+,,,hypothetical protein,Class 4,,NP_248753.1 ; WP_003118564.1,1128,376,42.3,9.78,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102861,PA0064,CDS,76416,77399,-,,,hypothetical protein,Class 4,,NP_248754.1 ; WP_003114660.1,984,328,35.5,8.55,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102863,PA0065,CDS,77432,78097,-,,,hypothetical protein,Class 4,,NP_248755.1 ; WP_003114659.1,666,222,25,6.07,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102865,PA0066,CDS,78090,78632,-,,yrdA,conserved hypothetical protein,Class 4,,NP_248756.1 ; WP_003083618.1,543,181,19.2,6.63,Cytoplasmic [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102867,PA0067,CDS,78710,80755,+,prlC,opdA,oligopeptidase A,Class 2,,NP_248757.1 ; WP_003114658.1,2046,682,76,4.91,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102869,PA0068,CDS,80752,81027,+,,,hypothetical protein,Class 4,,NP_248758.1 ; WP_003083624.1,276,92,10,9.01,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102871,PA0069,CDS,81116,82174,+,,,conserved hypothetical protein,Class 4,,NP_248759.1 ; WP_003083628.1,1059,353,39.5,8.28,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102873,PA0070,CDS,82404,83318,-,tagQ1,,TagQ1,Class 2,,NP_248760.1 ; WP_003106614.1,915,305,31.7,8.93,Outer Membrane Vesicle [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102875,PA0071,CDS,83380,85092,-,tagR1,,TagR1,Class 1,,NP_248761.1 ; WP_003106615.1,1713,571,61.9,5.87,Periplasmic [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102877,PA0072,CDS,85085,86284,-,tagS1,,TagS1,Class 2,,NP_248762.1 ; WP_003083634.1,1200,400,42.2,9.57,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102879,PA0073,CDS,86284,87003,-,tagT1,,TagT1,Class 2,,NP_248763.1 ; WP_003114657.1,720,240,26,8.79,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102881,PA0074,CDS,87000,90098,-,ppkA,tagE1,serine/threonine protein kinase PpkA,Class 1,TagE1,NP_248764.1 ; WP_003147051.1,3099,1033,110,5.15,Outer Membrane Vesicle [Class 1] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102883,PA0075,CDS,90106,90834,-,pppA,tagG1,PppA,Class 1,PppA ; TagG1,NP_248765.1 ; WP_003106965.1,729,243,25.9,6.23,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102885,PA0076,CDS,90844,91524,-,tagF1,,TagF1,Class 2,,NP_248766.1 ; WP_003106966.1,681,227,23.9,4.4,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102887,PA0077,CDS,91521,94826,-,icmF1,tssM1,IcmF1,Class 1,IcmF1,NP_248767.1 ; ,3306,1102,121.5,6.27,Outer Membrane Vesicle [Class 1] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102889,PA0078,CDS,95048,96397,-,tssL1,,TssL1,Class 2,,NP_248768.1 ; WP_003115051.1,1350,450,49,8.12,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102891,PA0079,CDS,96404,97738,-,tssK1,,TssK1,Class 2,,NP_248769.1 ; WP_003115052.1,1335,445,48.3,6.06,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102893,PA0080,CDS,97754,98218,-,tssJ1,,TssJ1,Class 2,,NP_248770.1 ; WP_003083660.1,465,155,16.9,6.53,Outer Membrane Vesicle [Class 1] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102895,PA0081,CDS,98263,99756,-,fha1,,Fha1,Class 1,Fha1,NP_248771.1 ; WP_003147054.1,1494,498,53.3,5.07,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102897,PA0082,CDS,100124,101158,+,tssA1,,TssA1,Class 1,,NP_248772.1 ; WP_003115054.1,1035,345,36.6,4.14,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102899,PA0083,CDS,101247,101765,+,tssB1,,TssB1,Class 2,,NP_248773.1 ; WP_003083666.1,519,173,18.8,4.87,Cytoplasmic [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102901,PA0084,CDS,101778,103274,+,tssC1,,TssC1,Class 2,,NP_248774.1 ; WP_003111626.1,1497,499,55.8,4.98,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102903,PA0085,CDS,103350,103838,+,hcp1,,Hcp1,Class 1,Hcp1,NP_248775.1 ; WP_003083670.1,489,163,17.4,6.8,Extracellular [Class 1] ; Extracellular [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102905,PA0086,CDS,104006,104851,+,tagJ1,hsiE1,TagJ1,Class 1,,NP_248776.1 ; WP_003119488.1,846,282,30.4,4.41,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102907,PA0087,CDS,104853,105362,+,tssE1,,TssE1,Class 2,,NP_248777.1 ; WP_003104971.1,510,170,18.7,5.27,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102909,PA0088,CDS,105359,107218,+,tssF1,,TssF1,Class 2,,NP_248778.1 ; WP_003115055.1,1860,620,69.5,7.39,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102911,PA0089,CDS,107182,108228,+,tssG1,,TssG1,Class 2,,NP_248779.1 ; WP_003104969.1,1047,349,39.5,5.56,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102913,PA0090,CDS,108221,110929,+,clpV1,,ClpV1,Class 2,ClpV1,NP_248780.1 ; WP_003115056.1,2709,903,98.7,5.28,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102915,PA0091,CDS,110976,112907,+,vgrG1,vgrG1a,VgrG1,Class 1,VgrG1 ; VgrG1a,NP_248781.1 ; WP_010895494.1,1932,644,72,6.37,Extracellular [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102917,PA0092,CDS,113022,113306,-,tsi6,,Tsi6,Class 1,Tsi6,NP_248782.1 ; WP_003104961.1,285,95,10.7,7.51,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102919,PA0093,CDS,113303,114595,-,tse6,,Tse6,Class 1,Tse6,NP_248783.1 ; WP_003115074.1,1293,431,44.7,8.94,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102921,PA0094,CDS,114611,115045,-,eagT6,,EagT6,Class 1,EagT6 ; hypothetical protein,NP_248784.1 ; WP_003083692.1,435,145,16.5,6.8,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102923,PA0095,CDS,115299,117524,+,,vgr ; VgrG1b,vgrG1b,Class 1,vgrG1b,NP_248785.1 ; WP_003147059.1,2226,742,82.8,5.25,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102925,PA0096,CDS,117552,118001,+,,,hypothetical protein,Class 4,,NP_248786.1 ; WP_003101196.1,450,150,15.6,8.77,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102927,PA0097,CDS,117931,119130,+,,,hypothetical protein,Class 4,,NP_248787.1 ; WP_003123798.1,1200,400,43.6,5.75,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102929,PA0098,CDS,119127,120164,+,,,hypothetical protein,Class 4,,NP_248788.1 ; WP_003115088.1,1038,346,36.4,5.48,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102931,PA0099,CDS,120164,121324,+,,,type VI effector protein,Class 1,type VI effector protein ; hypothetical protein,NP_248789.1 ; WP_003115783.1,1161,387,41.3,10.32,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102933,PA0100,CDS,121346,122266,+,,,hypothetical protein,Class 4,,NP_248790.1 ; WP_003115069.1,921,307,33.7,4.06,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102935,PA0101,CDS,122248,123495,+,,,hypothetical protein,Class 4,,NP_248791.1 ; WP_010895495.1,1248,416,45.5,4.63,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102937,PA0102,CDS,123871,124599,+,,,probable carbonic anhydrase,Class 1,,NP_248792.1 ; WP_003115027.1,729,243,26.6,6.67,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102939,PA0103,CDS,124810,126381,+,,,probable sulfate transporter,Class 3,,NP_248793.1 ; WP_003115028.1,1572,524,54.7,10.27,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102941,PA0104,CDS,126518,127114,+,,,hypothetical protein,Class 4,,NP_248794 ; WP_003115029.1,597,199,21.5,5.83,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102943,PA0105,CDS,127378,128502,+,coxB,coII,"cytochrome c oxidase, subunit II",Class 2,,NP_248795.1 ; WP_003101203.1,1125,375,42.2,6.51,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102945,PA0106,CDS,128512,130104,+,coxA,coI,"cytochrome c oxidase, subunit I",Class 2,,NP_248796.1 ; WP_003083723.1,1593,531,58.8,7.12,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102947,PA0107,CDS,130115,130669,+,,,conserved hypothetical protein,Class 4,,NP_248797.1 ; WP_003083725.1,555,185,20.4,8.06,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102949,PA0108,CDS,130680,131567,+,coIII,,"cytochrome c oxidase, subunit III",Class 2,,NP_248798.1 ; WP_003115030.1,888,296,33.3,8.73,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102951,PA0109,CDS,131583,131792,-,,,hypothetical protein,Class 4,,NP_248799.1 ; WP_003101213.1,210,70,7.5,10.24,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102953,PA0110,CDS,131808,132602,+,,,hypothetical protein,Class 4,,NP_248800.1 ; WP_003119510.1,795,265,29.8,9.3,Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102955,PA0111,CDS,132577,133155,+,,,hypothetical protein,Class 4,,NP_248801.1 ; WP_003083738.1,579,193,20.9,10,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD102957,PA0112,CDS,133220,134293,+,,,hypothetical protein,Class 4,,NP_248802.1 ; WP_003115033.1,1074,358,38.1,11.01,Cytoplasmic Membrane [Class 3]
